command:	/home/icgc/WORK/adachi/TOOL/callallSV/script/pe/detectGR -i .list.sam.tumor -l 1340 -ni .list.sam.normal -nl 1340 32
Job start:	20230303_11-48-28

log: tumor_stp4tdm-11/13	 [	14 cluster,	filesize =	171621 ] generated
log: tumor_stp4del-11/13	 [	17 cluster,	filesize =	302328 ] generated
log: tumor_stp4trans_fr-10/10	 [ filesize =	21156 ] generated
log: tumor_stp4del-12/13	 [	24 cluster,	filesize =	376259 ] generated
log: tumor_stp4tdm-12/13	 [	29 cluster,	filesize =	349831 ] generated
log: tumor_stp4inv-5/20	 [	22 cluster,	filesize =	1316 ] generated
log: tumor_stp4inv-6/20	 [	27 cluster,	filesize =	1620 ] generated
log: tumor_stp4inv-7/20	 [	22 cluster,	filesize =	250487 ] generated
log: tumor_stp4inv-8/20	 [	27 cluster,	filesize =	280027 ] generated
log: tumor_stp4tdm-13/13	 [ filesize =	213445 ] generated
log: tumor_stp4del-13/13	 [ filesize =	228678 ] generated
log: tumor_stp4inv-9/20	 [	22 cluster,	filesize =	1444 ] generated
log: tumor_stp4inv-10/20	 [	27 cluster,	filesize =	1758 ] generated
log: tumor_stp4inv-11/20	 [	22 cluster,	filesize =	250487 ] generated
log: tumor_stp4inv-12/20	 [	27 cluster,	filesize =	280027 ] generated
log: tumor_stp4inv-13/20	 [	22 cluster,	filesize =	250487 ] generated
log: tumor_stp4inv-14/20	 [	27 cluster,	filesize =	280027 ] generated
log: tumor_stp4inv-15/20	 [	14 cluster,	filesize =	174520 ] generated
log: tumor_stp4inv-16/20	 [	14 cluster,	filesize =	174520 ] generated
log: tumor_stp4inv-17/20	 [	22 cluster,	filesize =	250487 ] generated
log: tumor_stp4inv-18/20	 [	27 cluster,	filesize =	280027 ] generated
log: tumor_stp4inv-19/20	 [ filesize =	217206 ] generated
log: tumor_stp4inv-20/20	 [ filesize =	95080 ] generated
log: tumor_stp5-1/5	 [	133 cluster,	filesize =	22853 ] generated
log: tumor_stp5-2/5	 [	133 cluster,	filesize =	22244 ] generated
log: tumor_stp5-3/5	 [	133 cluster,	filesize =	22244 ] generated
log: tumor_stp5-4/5	 [	133 cluster,	filesize =	16137 ] generated
log: tumor_stp5-5/5	 [	133 cluster,	filesize =	13232 ] generated
