command:	/home/icgc/WORK/adachi/TOOL/revisePckg/clone0308_callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230524_20-00-42

log: tumor_stp2tr-10/28	 [ filesize =	266643 ] generated
log: tumor_stp2tr-25/28	 [ filesize =	1206472 ] generated
log: tumor_stp2tr-11/28	 [ filesize =	267548 ] generated
log: tumor_stp2tr-26/28	 [ filesize =	603236 ] generated
log: tumor_stp2tr-27/28	 [ filesize =	603236 ] generated
log: tumor_stp2tr-14/28	 [ filesize =	641581 ] generated
log: tumor_stp2tr-15/28	 [ filesize =	265512 ] generated
log: tumor_stp2tr-27.5/28	 [ filesize =	603236 ] generated
log: tumor_stp2tr-18/28	 [ filesize =	1283030 ] generated
log: tumor_stp2tr-28/28	 [ filesize =	603236 ] generated
log: tumor_stp2tr-16/28	 [ filesize =	266319 ] generated
log: tumor_stp2tr-19/28	 [ filesize =	641515 ] generated
log: tumor_stp2tr-22/28	 [ filesize =	531777 ] generated
log: tumor_stp2tr-20/28	 [ filesize =	641515 ] generated
log: tumor_stp2tr-23/28	 [ filesize =	531777 ] generated
log: tumor_stp2tr-20.5/28	 [ filesize =	641515 ] generated
log: tumor_stp2tr-21/28	 [ filesize =	641515 ] generated
log: tumor_stp2tr-23.5/28	 [ filesize =	531777 ] generated
log: tumor_stp2tr-24/28	 [ filesize =	531777 ] generated
log: normal_stp3cluster-1/7	 [	31 cluster,	filesize =	568795 ] generated
log: normal_stp3cluster-2/7	 [	8 cluster,	filesize =	491112 ] generated
log: normal_stp3cluster-3/7	 [	11 cluster,	filesize =	526985 ] generated
log: normal_stp3cluster-4/7	 [	12 cluster,	filesize =	603416 ] generated
log: normal_stp3cluster-5/7	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp3cluster-1/7	 [	9 cluster,	filesize =	595026 ] generated
log: normal_stp3cluster-6/7	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp3cluster-2/7	 [	9 cluster,	filesize =	505511 ] generated
log: normal_stp3cluster-7/7	 [	2 cluster,	filesize =	71129 ] generated
log: tumor_stp3cluster-3/7	 [	14 cluster,	filesize =	783919 ] generated
log: tumor_stp3cluster-4/7	 [	14 cluster,	filesize =	787667 ] generated
log: tumor_stp3cluster-5/7	 [	6 cluster,	filesize =	357063 ] generated
log: tumor_stp3cluster-6/7	 [	8 cluster,	filesize =	472215 ] generated
log: tumor_stp3cluster-7/7	 [	11 cluster,	filesize =	603236 ] generated
log: tumor_stp4trans_ff-1/10	 [ filesize =	95027 ] generated
log: tumor_stp4inv-1/20	 [ filesize =	74727 ] generated
log: tumor_stp4tdm-1/13	 [ filesize =	96814 ] generated
log: tumor_stp4del-1/13	 [ filesize =	46289 ] generated
log: tumor_stp4trans_ff-2/10	 [	10 cluster,	filesize =	602 ] generated
log: tumor_stp4del-2/13	 [	40 cluster,	filesize =	2438 ] generated
log: tumor_stp4trans_rr-1/10	 [ filesize =	83224 ] generated
log: tumor_stp4del-3/13	 [	25 cluster,	filesize =	1538 ] generated
log: tumor_stp4trans_ff-3/10	 [	10 cluster,	filesize =	578643 ] generated
log: tumor_stp4inv-2/20	 [ filesize =	70880 ] generated
log: tumor_stp4trans_fr-1/10	 [ filesize =	87609 ] generated
log: tumor_stp4del-4/13	 [	25 cluster,	filesize =	1538 ] generated
log: tumor_stp4tdm-2/13	 [	25 cluster,	filesize =	1500 ] generated
log: tumor_stp4tdm-3/13	 [	5 cluster,	filesize =	300 ] generated
log: tumor_stp4trans_rr-2/10	 [	9 cluster,	filesize =	534 ] generated
log: tumor_stp4trans_rr-3/10	 [	1397 cluster,	filesize =	507748 ] generated
log: tumor_stp4tdm-4/13	 [	5 cluster,	filesize =	300 ] generated
log: tumor_stp4del-5/13	 [	25 cluster,	filesize =	263508 ] generated
log: tumor_stp4trans_ff-4/10	 [	10 cluster,	filesize =	612 ] generated
log: tumor_stp4trans_fr-2/10	 [	9 cluster,	filesize =	546 ] generated
log: tumor_stp4tdm-5/13	 [	5 cluster,	filesize =	302159 ] generated
log: tumor_stp4trans_rr-4/10	 [	9 cluster,	filesize =	543 ] generated
log: tumor_stp4trans_fr-3/10	 [	9 cluster,	filesize =	531777 ] generated
log: tumor_stp4trans_ff-5/10	 [	10 cluster,	filesize =	578643 ] generated
log: tumor_stp4inv-3/20	 [	51 cluster,	filesize =	3062 ] generated
log: tumor_stp4inv-4/20	 [	13 cluster,	filesize =	782 ] generated
log: tumor_stp4trans_rr-5/10	 [	9 cluster,	filesize =	507748 ] generated
log: tumor_stp4trans_ff-6/10	 [	10 cluster,	filesize =	578643 ] generated
log: tumor_stp4del-6/13	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp4tdm-6/13	 [	5 cluster,	filesize =	334 ] generated
