command:	/home/__User_Directory__/callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230309_15-29-52

log: tumor_stp2tr-13/28	 [ filesize =	121415 ] generated
log: tumor_stp2tr-12/28	 [ filesize =	60482 ] generated
log: tumor_stp2tr-15/28	 [ filesize =	79816 ] generated
log: tumor_stp2tr-14/28	 [ filesize =	53632 ] generated
log: tumor_stp2tr-18/28	 [ filesize =	107192 ] generated
log: tumor_stp2tr-19/28	 [ filesize =	53596 ] generated
log: tumor_stp2tr-20/28	 [ filesize =	53596 ] generated
log: tumor_stp2tr-20.5/28	 [ filesize =	53596 ] generated
log: tumor_stp2tr-21/28	 [ filesize =	53596 ] generated
log: tumor_stp2tr-17/28	 [ filesize =	99931 ] generated
log: tumor_stp2tr-25/28	 [ filesize =	208766 ] generated
log: tumor_stp2tr-26/28	 [ filesize =	104383 ] generated
log: tumor_stp2tr-27/28	 [ filesize =	99894 ] generated
log: tumor_stp2tr-27.5/28	 [ filesize =	99894 ] generated
log: tumor_stp2tr-28/28	 [ filesize =	99894 ] generated
log: tumor_stp2tr-16/28	 [ filesize =	79902 ] generated
log: tumor_stp2tr-22/28	 [ filesize =	159574 ] generated
log: tumor_stp2tr-23/28	 [ filesize =	159574 ] generated
log: tumor_stp2tr-23.5/28	 [ filesize =	159574 ] generated
log: tumor_stp2tr-24/28	 [ filesize =	159574 ] generated
log: normal_stp3cluster-1/7	 [	0 cluster,	filesize =	0 ] generated
log: normal_stp3cluster-2/7	 [	0 cluster,	filesize =	0 ] generated
log: normal_stp3cluster-3/7	 [	0 cluster,	filesize =	0 ] generated
log: normal_stp3cluster-4/7	 [	1 cluster,	filesize =	3001 ] generated
log: normal_stp3cluster-5/7	 [	0 cluster,	filesize =	0 ] generated
log: normal_stp3cluster-6/7	 [	0 cluster,	filesize =	0 ] generated
log: normal_stp3cluster-7/7	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp3cluster-1/7	 [	20 cluster,	filesize =	355571 ] generated
log: tumor_stp3cluster-2/7	 [	11 cluster,	filesize =	238610 ] generated
log: tumor_stp3cluster-3/7	 [	13 cluster,	filesize =	120542 ] generated
log: tumor_stp3cluster-4/7	 [	14 cluster,	filesize =	235080 ] generated
log: tumor_stp3cluster-5/7	 [	17 cluster,	filesize =	127443 ] generated
log: tumor_stp3cluster-6/7	 [	2 cluster,	filesize =	34181 ] generated
log: tumor_stp3cluster-7/7	 [	4 cluster,	filesize =	57283 ] generated
log: tumor_stp4trans_ff-1/10	 [ filesize =	8935 ] generated
log: tumor_stp4del-1/13	 [ filesize =	329052 ] generated
log: tumor_stp4tdm-1/13	 [ filesize =	286092 ] generated
log: tumor_stp4trans_fr-1/10	 [ filesize =	26668 ] generated
log: tumor_stp4trans_rr-1/10	 [ filesize =	16590 ] generated
log: tumor_stp4tdm-2/13	 [	30 cluster,	filesize =	1800 ] generated
log: tumor_stp4tdm-3/13	 [	30 cluster,	filesize =	1800 ] generated
log: tumor_stp4del-2/13	 [	28 cluster,	filesize =	1676 ] generated
log: tumor_stp4del-3/13	 [	28 cluster,	filesize =	1676 ] generated
log: tumor_stp4inv-1/20	 [ filesize =	232917 ] generated
log: tumor_stp4trans_fr-2/10	 [	24 cluster,	filesize =	1432 ] generated
log: tumor_stp4trans_ff-2/10	 [	6 cluster,	filesize =	358 ] generated
log: tumor_stp4trans_rr-2/10	 [	10 cluster,	filesize =	596 ] generated
log: tumor_stp4tdm-4/13	 [	30 cluster,	filesize =	1800 ] generated
log: tumor_stp4trans_ff-3/10	 [	6 cluster,	filesize =	53596 ] generated
log: tumor_stp4trans_rr-3/10	 [	298 cluster,	filesize =	99894 ] generated
log: tumor_stp4trans_fr-3/10	 [	24 cluster,	filesize =	159574 ] generated
log: tumor_stp4inv-2/20	 [ filesize =	118481 ] generated
log: tumor_stp4tdm-5/13	 [	30 cluster,	filesize =	409306 ] generated
log: tumor_stp4trans_ff-4/10	 [	6 cluster,	filesize =	360 ] generated
log: tumor_stp4trans_rr-4/10	 [	10 cluster,	filesize =	601 ] generated
log: tumor_stp4del-4/13	 [	28 cluster,	filesize =	1676 ] generated
log: tumor_stp4inv-3/20	 [	52 cluster,	filesize =	3120 ] generated
log: tumor_stp4inv-4/20	 [	52 cluster,	filesize =	3120 ] generated
log: tumor_stp4del-5/13	 [	28 cluster,	filesize =	481122 ] generated
log: tumor_stp4tdm-6/13	 [	29 cluster,	filesize =	1912 ] generated
log: tumor_stp4tdm-7/13	 [	29 cluster,	filesize =	1912 ] generated
log: tumor_stp4trans_ff-5/10	 [	6 cluster,	filesize =	53596 ] generated
log: tumor_stp4trans_rr-5/10	 [	10 cluster,	filesize =	99894 ] generated
log: tumor_stp4tdm-8/13	 [	29 cluster,	filesize =	406314 ] generated
log: tumor_stp4trans_fr-4/10	 [	24 cluster,	filesize =	1438 ] generated
log: tumor_stp4trans_fr-5/10	 [	24 cluster,	filesize =	159574 ] generated
log: tumor_stp4del-6/13	 [	28 cluster,	filesize =	1832 ] generated
log: tumor_stp4trans_rr-6/10	 [	10 cluster,	filesize =	99894 ] generated
log: tumor_stp4del-7/13	 [	28 cluster,	filesize =	1832 ] generated
log: tumor_stp4trans_fr-6/10	 [	24 cluster,	filesize =	159574 ] generated
log: tumor_stp4trans_rr-7/10	 [	10 cluster,	filesize =	99894 ] generated
log: tumor_stp4tdm-9/13	 [	29 cluster,	filesize =	406314 ] generated
log: tumor_stp4tdm-10/13	 [	29 cluster,	filesize =	406314 ] generated
log: tumor_stp4trans_fr-7/10	 [	24 cluster,	filesize =	159574 ] generated
log: tumor_stp4del-8/13	 [	28 cluster,	filesize =	481122 ] generated
log: tumor_stp4trans_rr-8/10	 [	4 cluster,	filesize =	57283 ] generated
log: tumor_stp4trans_fr-8/10	 [	17 cluster,	filesize =	127443 ] generated
log: tumor_stp4tdm-11/13	 [	13 cluster,	filesize =	232088 ] generated
log: tumor_stp4trans_ff-6/10	 [	6 cluster,	filesize =	53596 ] generated
log: tumor_stp4del-9/13	 [	28 cluster,	filesize =	481122 ] generated
log: tumor_stp4del-10/13	 [	28 cluster,	filesize =	481122 ] generated
log: tumor_stp4trans_fr-9/10	 [	24 cluster,	filesize =	159574 ] generated
log: tumor_stp4del-11/13	 [	20 cluster,	filesize =	355571 ] generated
log: tumor_stp4trans_rr-9/10	 [	10 cluster,	filesize =	99894 ] generated
log: tumor_stp4tdm-12/13	 [	29 cluster,	filesize =	406314 ] generated
log: tumor_stp4del-12/13	 [	28 cluster,	filesize =	481122 ] generated
log: tumor_stp4inv-5/20	 [	21 cluster,	filesize =	1260 ] generated
log: tumor_stp4inv-6/20	 [	31 cluster,	filesize =	1860 ] generated
log: tumor_stp4trans_rr-10/10	 [ filesize =	16590 ] generated
log: tumor_stp4inv-7/20	 [	21 cluster,	filesize =	350727 ] generated
log: tumor_stp4inv-8/20	 [	31 cluster,	filesize =	398894 ] generated
log: tumor_stp4inv-9/20	 [	21 cluster,	filesize =	1386 ] generated
log: tumor_stp4inv-10/20	 [	31 cluster,	filesize =	2022 ] generated
log: tumor_stp4del-13/13	 [ filesize =	245356 ] generated
log: tumor_stp4inv-11/20	 [	21 cluster,	filesize =	350727 ] generated
log: tumor_stp4inv-12/20	 [	31 cluster,	filesize =	398894 ] generated
log: tumor_stp4inv-13/20	 [	21 cluster,	filesize =	350727 ] generated
log: tumor_stp4inv-14/20	 [	31 cluster,	filesize =	398894 ] generated
log: tumor_stp4inv-15/20	 [	11 cluster,	filesize =	238610 ] generated
log: tumor_stp4inv-16/20	 [	11 cluster,	filesize =	238610 ] generated
log: tumor_stp4inv-17/20	 [	21 cluster,	filesize =	350727 ] generated
log: tumor_stp4inv-18/20	 [	31 cluster,	filesize =	398894 ] generated
log: tumor_stp4inv-19/20	 [ filesize =	232917 ] generated
log: tumor_stp4trans_ff-7/10	 [	6 cluster,	filesize =	53596 ] generated
log: tumor_stp4trans_ff-8/10	 [	2 cluster,	filesize =	34181 ] generated
log: tumor_stp4inv-20/20	 [ filesize =	118481 ] generated
log: tumor_stp4trans_ff-9/10	 [	6 cluster,	filesize =	53596 ] generated
log: tumor_stp4trans_ff-10/10	 [ filesize =	8935 ] generated
log: tumor_stp4trans_fr-10/10	 [ filesize =	26668 ] generated
log: tumor_stp4tdm-13/13	 [ filesize =	285577 ] generated
log: tumor_stp5-1/5	 [	149 cluster,	filesize =	24910 ] generated
log: tumor_stp5-2/5	 [	149 cluster,	filesize =	24349 ] generated
log: tumor_stp5-3/5	 [	149 cluster,	filesize =	24349 ] generated
log: tumor_stp5-4/5	 [	149 cluster,	filesize =	18095 ] generated
log: tumor_stp5-5/5	 [	149 cluster,	filesize =	14796 ] generated
